;victim;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;SURBs;total
4900;26;31;33;35;22;36;26;31;39;35;25;28;27;26;38;30;36;36;34;50;34;39;21;33;21;22;28;37;25;36;22;31;36;40;41;34;34;34;33;50;29;39;34;32;35;45;27;34;36;42;47;33;39;24;49;35;34;38;35;28;39;43;43;33;28;27;37;38;33;30;31;36;36;34;44;25;31;26;37;33;38;22;29;31;37;36;33;20;35;32;44;34;36;31;34;33;37;31;32;25;43;25;34;30;34;24;28;28;36;41;28;31;27;28;30;29;28;35;37;44;33;39;25;36;32;33;34;25;30;32;27;38;34;24;33;34;28;40;33;31;26;30;43;35;42;34;32;39;26;40;26;30;40;48;34;29;34;28;28;35;20;33;28;35;33;32;0;5485
5000;34;33;32;37;30;23;30;40;32;38;31;38;33;30;34;44;29;31;39;36;29;31;28;27;32;39;39;32;22;29;34;31;25;24;28;34;27;31;26;33;35;32;29;34;28;49;36;20;43;27;37;39;30;28;51;32;28;46;42;28;35;25;29;26;34;27;35;32;32;34;50;26;25;42;40;31;29;28;31;45;24;42;28;39;23;38;37;30;22;20;34;31;34;25;43;36;30;27;33;30;37;44;35;39;33;36;36;48;35;36;34;40;40;38;31;29;31;36;42;38;31;37;35;32;36;34;40;38;32;31;24;29;26;29;28;30;35;44;32;18;35;32;29;29;33;25;34;34;42;37;37;37;31;33;34;35;31;45;23;47;23;38;36;45;33;37;0;5525
5100;30;36;34;35;28;41;39;28;33;43;34;37;33;29;28;36;30;37;36;43;35;41;28;36;42;31;32;44;29;25;31;32;33;38;30;22;33;27;34;40;31;30;35;39;25;40;34;27;24;41;33;40;28;30;38;45;40;33;29;26;46;35;39;47;30;41;37;25;39;30;42;36;32;22;27;32;39;47;27;36;28;42;44;32;40;37;20;35;32;37;38;32;37;25;30;28;35;32;31;35;42;35;40;29;39;31;31;33;34;39;33;41;33;33;40;32;47;26;31;28;33;28;19;41;34;29;29;41;38;39;40;42;38;27;37;31;31;30;33;23;27;32;30;41;30;31;28;32;35;28;27;38;36;43;31;32;38;29;37;36;38;36;28;35;17;32;0;5607
5200;41;34;30;36;23;32;35;37;37;28;30;41;25;40;38;38;35;36;26;34;31;23;42;25;39;32;26;27;29;30;28;34;31;29;39;30;30;33;35;37;26;42;34;29;30;42;31;26;37;39;41;31;26;26;41;30;33;38;44;28;39;33;28;35;32;37;35;39;39;29;34;36;36;27;35;30;34;36;37;36;31;23;31;30;40;38;24;34;32;30;43;41;29;28;41;36;39;25;36;36;37;34;24;26;37;26;39;35;32;29;39;32;38;25;22;27;32;30;35;23;31;24;38;31;33;29;45;41;30;34;39;41;22;30;30;37;44;40;32;28;29;29;40;27;29;52;30;43;32;39;25;33;33;36;32;28;35;41;24;28;24;37;30;32;29;30;0;5482
5300;31;31;36;27;34;27;32;45;37;32;33;38;32;29;37;24;34;31;38;28;34;37;26;25;31;27;27;35;27;43;40;29;35;50;29;43;32;37;44;30;33;20;40;24;32;31;30;34;35;41;33;31;29;36;45;32;38;42;39;28;36;36;35;42;37;35;41;29;25;37;32;36;22;26;31;38;29;34;24;47;28;32;29;30;34;25;30;38;39;26;35;42;28;40;35;23;34;31;26;33;31;14;23;49;37;32;32;33;39;45;37;40;31;27;27;37;36;31;37;39;29;28;26;36;30;29;37;27;33;22;35;34;25;39;31;29;28;28;28;44;36;32;20;37;28;26;47;41;31;29;26;32;38;43;52;32;31;27;31;26;40;31;24;23;27;32;0;5457
5400;30;29;33;23;29;35;45;34;38;39;34;25;31;34;41;39;32;26;35;39;33;33;40;28;32;32;40;36;30;40;32;44;28;38;38;15;35;30;38;34;35;29;24;35;44;35;43;33;28;29;32;34;31;31;29;42;40;45;38;31;32;46;33;28;33;49;30;24;27;36;40;37;31;34;30;26;33;43;26;30;36;33;33;36;48;35;50;27;32;31;34;28;35;28;34;32;30;32;40;36;34;34;30;26;29;32;25;34;37;44;33;48;34;40;32;23;34;25;33;41;25;31;26;29;36;32;32;30;36;36;34;28;24;29;52;31;27;39;37;38;27;30;34;32;41;35;31;24;34;34;37;36;26;37;26;29;34;37;44;35;27;29;41;30;18;38;0;5559
5500;38;29;37;39;33;23;34;23;33;37;40;19;39;26;26;30;31;33;22;35;32;33;25;33;25;26;30;25;32;41;27;20;36;34;25;27;31;33;38;23;42;34;41;35;24;40;37;37;36;36;33;36;35;38;38;33;30;46;28;31;34;29;34;28;34;42;21;31;43;36;32;22;32;30;39;37;34;25;23;38;33;38;29;33;46;26;35;32;36;32;35;29;36;40;32;26;41;27;26;28;22;20;25;36;28;33;41;18;31;38;33;33;28;30;33;28;30;28;32;38;39;33;29;32;44;34;37;35;34;40;40;34;32;24;41;35;41;32;27;29;34;31;30;28;34;40;37;31;36;43;35;40;42;40;28;46;43;31;35;32;32;22;35;32;28;35;0;5434
5600;32;32;36;29;36;38;36;38;35;48;37;34;37;31;28;26;32;31;36;33;41;36;30;31;21;33;35;41;44;32;31;29;22;20;35;35;35;39;33;33;27;33;30;35;32;35;37;37;32;43;36;27;35;28;46;39;36;44;26;31;29;29;38;33;35;34;30;33;42;41;34;37;32;23;35;31;30;30;31;47;28;29;33;33;33;27;42;27;40;36;31;30;38;32;39;35;29;25;42;30;23;23;41;33;35;29;30;23;41;36;36;23;35;26;30;26;39;30;22;31;35;38;32;27;31;34;33;45;35;37;24;37;30;43;28;24;41;26;32;37;37;31;36;37;37;30;34;39;32;25;33;35;30;43;30;30;36;32;30;34;41;30;31;22;44;40;0;5523
5700;42;29;22;40;33;36;36;40;27;38;29;23;24;32;37;22;44;32;38;30;35;24;37;36;30;26;23;42;36;34;34;38;36;31;39;33;36;35;25;33;36;40;42;31;28;30;38;36;32;38;35;23;40;39;39;23;32;31;33;24;32;40;31;37;27;36;32;27;33;33;19;30;27;31;40;35;29;21;34;38;39;32;32;29;30;38;31;33;34;30;32;31;42;37;39;25;38;30;30;27;27;34;32;41;28;36;28;28;28;26;34;36;33;28;33;32;44;25;45;39;35;38;34;37;23;38;29;34;33;40;29;35;33;34;31;29;28;33;33;38;36;42;30;26;30;29;32;32;34;44;21;32;30;33;40;26;42;30;23;32;45;32;30;32;33;40;0;5455
5800;33;33;24;39;23;32;34;32;42;42;28;30;25;23;28;31;39;37;33;37;30;30;34;42;34;29;24;27;34;38;32;36;30;27;28;41;29;39;43;26;28;34;35;26;31;37;28;35;30;33;41;31;37;25;45;38;36;40;40;37;20;28;45;28;29;46;36;38;37;36;28;29;34;50;35;28;33;23;24;26;41;32;27;30;30;28;35;30;30;33;26;33;28;29;35;44;33;25;36;34;39;44;28;39;29;26;25;37;30;36;27;31;30;23;24;28;30;46;36;30;30;31;25;39;31;28;33;36;29;32;35;31;42;26;26;33;37;35;34;34;37;40;35;44;29;40;45;29;30;34;37;34;33;43;42;39;39;39;18;47;34;35;31;27;25;34;0;5482
