;avg_victim;avg_total;avg_surbs;var_total;var_victim;var_surbs
7200;32.98;33.0010843373494;0.0;41.031340273288215;30.379599999999993;0.0
7300;33.36;32.90710843373494;0.0;40.77102202468375;39.3304;0.0
7400;33.12;32.92295180722891;0.0;40.92112532692052;28.725600000000007;0.0
7500;32.97;32.88873493975903;0.0;41.10582277035014;28.78909999999998;0.0
7600;33.48;32.94801204819277;0.0;40.8180569754625;29.269599999999986;0.0
7700;32.52;32.88728915662651;0.0;40.025007195856034;28.989599999999985;0.0
7800;34.18;32.87090361445783;0.0;40.91075283206207;36.8676;0.0
7900;33.57;32.85222891566265;0.0;40.99795838598133;25.685099999999988;0.0
8000;34.39;32.983674698795184;0.0;40.58905950264434;32.637899999999995;0.0
8100;32.51;32.97144578313253;0.0;41.3172234939753;43.04989999999999;0.0
8200;33.49;32.89156626506024;0.0;40.99980605348149;28.629899999999992;0.0
8300;33.66;32.93849397590361;0.35;40.68281721642078;47.36439999999999;0.40749999999999986
8400;34.62;32.971385542168676;1.4;39.678012691007666;39.33559999999999;1.0399999999999985
8500;36.63;32.966566265060244;3.79;39.210758797386084;27.673100000000005;3.185899999999998
8600;40.22;32.94584337349398;7.05;38.24489714590162;28.61159999999999;5.107499999999999
8700;42.68;32.976867469879515;8.61;37.446409579781694;37.35760000000001;6.4379
8800;42.42;32.96042168674699;9.55;37.33554860050046;43.76359999999999;7.967499999999998
8900;42.68;33.03240963855421;8.27;38.17881485454221;36.55760000000001;6.257100000000001
9000;38.35;33.02373493975904;5.39;39.386137099617834;43.92749999999999;4.7379
9100;35.91;32.95813253012048;3.12;39.73670134807539;49.6619;3.3456
9200;34.09;32.978734939759036;1.45;40.42277398986089;27.581899999999987;1.4474999999999998
9300;32.2;32.88572289156627;0.63;40.97062294666474;44.72000000000002;0.5331000000000001
9400;34.44;32.951566265060244;0.23;40.872137760798246;38.986399999999996;0.19709999999999994
9500;34.13;32.895602409638556;0.06;39.98963896194549;40.793099999999995;0.0563999999999999
9600;33.06;32.80560240963855;0.02;40.20802920584703;33.516399999999976;0.019599999999999958
9700;32.86;32.89765060240964;0.02;40.662872461799225;30.60040000000002;0.019599999999999958
9800;32.16;32.998373493975905;0.0;41.51676561489867;32.93440000000001;0.0
9900;32.89;32.92349397590361;0.0;40.904441301792154;38.797900000000006;0.0
10000;33.12;32.90897590361446;0.0;40.74118674331774;30.925600000000003;0.0
